Text,Platform,Scheduled Date
"They weren't guests. They were invited.

Sixteen villas on a private island in the Beqa Lagoon, and the owners are friends of mine. That's not a booking — that's a phone call.

📍 Royal Davui, Fiji
#Fiji #PrivateIsland",Facebook,Week 3 Mon
"A design fee bought a lay-flat upgrade, a pro surfer, a 1,500-dive guide, and an island whose owners I know.

Link in bio.
#TravelAdvisor #Fiji",Instagram,Week 3 Wed
"A design fee bought a lay-flat upgrade, a pro surfer, a 1,500-dive guide, and an island whose owners I know.

Link in bio.
#TravelAdvisor #Fiji",Facebook,Week 3 Wed
"Our advisor called the people who own a private island.

This is what two weeks in Fiji looked like.

📍 Royal Davui, Fiji
#Fiji",Instagram,Week 3 Thu
"Your app ranks ten thousand hotels by price. It has never been to one of them.

Same country, same destinations, same budget — and a completely different two weeks. The app gives you the popular answer. Popular is a ranking. It was never a recommendation.

DM me FIJI — I'll tell you if this one's right for you.

📍 Fiji
#TravelAdvisor #Fiji",Instagram,Week 3 Fri
"Your app ranks ten thousand hotels by price. It has never been to one of them.

Same country, same destinations, same budget — and a completely different two weeks. The app gives you the popular answer. Popular is a ranking. It was never a recommendation.

DM me FIJI — I'll tell you if this one's right for you.

📍 Fiji
#TravelAdvisor #Fiji",Facebook,Week 3 Fri
"$1,200 got two lay-flat seats from Dallas to Fiji.

It's called Bula Bid. Fiji Airways emails eligible economy guests seven days out and lets you name your own price. Lose, and you're not charged a cent.

Not every bid wins. Ours did.

DM me FIJI if you're flying this year.

📍 Nadi, Fiji
#Fiji #TravelTips",Instagram,Week 4 Mon
"$1,200 got two lay-flat seats from Dallas to Fiji.

It's called Bula Bid. Fiji Airways emails eligible economy guests seven days out and lets you name your own price. Lose, and you're not charged a cent.

Not every bid wins. Ours did.

DM me FIJI if you're flying this year.

📍 Nadi, Fiji
#Fiji #TravelTips",Facebook,Week 4 Mon
"Galoa village gave up fishing this reef in 2004. That is why eight shark species still live on it.

📍 Shark Reef Marine Reserve, Beqa Lagoon
#Fiji #ScubaDiving",Instagram,Week 4 Wed
"Galoa village gave up fishing this reef in 2004. That is why eight shark species still live on it.

📍 Shark Reef Marine Reserve, Beqa Lagoon
#Fiji #ScubaDiving",Facebook,Week 4 Wed
"Six minutes by helicopter, or three hours by boat. Nobody picks a resort by its airstrip. That part is my job.

📍 Pacific Harbour, Fiji
#TravelAdvisor",Instagram,Week 4 Wed
"Six minutes by helicopter, or three hours by boat. Nobody picks a resort by its airstrip. That part is my job.

📍 Pacific Harbour, Fiji
#TravelAdvisor",Facebook,Week 4 Wed
"Two weeks. Two properties. One country most people only ever see from a resort pool.

📍 Nanuku + Royal Davui, Fiji
#Fiji #LuxuryTravel",Instagram,Week 4 Fri
"Two weeks. Two properties. One country most people only ever see from a resort pool.

📍 Nanuku + Royal Davui, Fiji
#Fiji #LuxuryTravel",Facebook,Week 4 Fri
